iteration,total,with_seizure,without_seizure,only_seizure,avg
0,26.6,29,26.6,28.2,27.6
1,28.2,28.4,28.2,29.2,28.5
2,29.4,29.8,29.4,28.4,29.25
3,32.8,30.8,32.8,28.2,31.15
4,31,28.6,31,35.6,31.55
5,31.4,35.6,31.4,33.4,32.95
6,28.6,32.2,28.6,30.2,29.9
7,22.8,21.8,22.8,29.6,24.25
8,38,36.2,38,34.4,36.65
9,38.8,39.4,38.8,46.2,40.8
10,42.2,42,42.2,50.8,44.3
11,43.4,38,43.4,47.4,43.05
12,48.4,47.2,48.4,44.2,47.05
13,50.2,47.8,50.2,51,49.8
14,46.4,50.2,46.4,49.8,48.2
15,50,48.6,50,52.4,50.25
16,50.4,49.2,50.4,54,51
17,47,51.2,47,54.6,49.95
18,53,50,53,61.6,54.4
19,52.8,52.2,52.8,54,52.95
20,54.6,55.2,54.6,56.4,55.2
21,60.4,56,60.4,63,59.9
